Район,Адрес,Площадь (м²),Тип,Цена (руб.),Цена за м² (руб.),Комнат,Этаж,ЖК/Комплекс,Источник,Дата сбора,Примечание
,ул. Интернациональная 199к9,29.1,Новостройка,4400000,151203,студия,6/16,ЖК Юнион,Яндекс.Недвижимость,2026-07-04,сдача 1кв.2025
,ул. Газопромысловая 1к2,89.7,Новостройка,11290000,125864,3,13/17,Дом на Мысу,Яндекс.Недвижимость,2026-07-04,сдача 1кв.2024
,ул. Краснооктябрьская 4,63.7,Новостройка,12500000,196232,2,7/17,Квартал Октябрьский на Туре,Яндекс.Недвижимость,2026-07-04,сдача 4кв.2025
,ул. Пожарных и Спасателей 14,87.1,Новостройка,21500000,246843,3,17/23,ЖК Дивный квартал у озера,Яндекс.Недвижимость,2026-07-04,сдача 4кв.2023
,ул. Холодильная 31к1,82.4,Новостройка,11550000,140170,3,2/14,ЖК Симфония,Яндекс.Недвижимость,2026-07-04,сдача 1кв.2026
,ул. Евгения Войнова 8,49.9,Новостройка,8950000,179359,1,10/23,ЖК Добро,Яндекс.Недвижимость,2026-07-04,сдача 4кв.2027
,ул. Мельникайте 42к1,55.7,Новостройка,8480000,152244,3,15/20,ЖК Страна.Прибрежная,Яндекс.Недвижимость,2026-07-04,скидка 20%; сдача 4кв.2026
Гилевский (район),,79.9,Новостройка,9820000,122904,3,2/8,ЖК Эпитеты,Яндекс.Недвижимость,2026-07-04,сдача 3кв.2026
,ул. Алматинская 10,52.9,Новостройка,7935000,150000,3,19/25,ЖК ДомОтель,Яндекс.Недвижимость,2026-07-04,сдача 4кв.2026
,ул. Лесопарковая 20,64.5,Новостройка,8680000,134574,2,11/24,ГК Чистые пруды,Яндекс.Недвижимость,2026-07-04,сдача 3кв.2027
,,29.9,Новостройка,5870000,196321,студия,4/19,ЖК Символ (Комарово Парк),Яндекс.Недвижимость,2026-07-04,сдача 3кв.2027
,ул. Игоря Комиссарова 18,57.8,Новостройка,9690000,167647,3,1/4,ЖК Эклипт,Яндекс.Недвижимость,2026-07-04,сдача 2кв.2025
,ЖК Окинава,88.2,Новостройка,12450000,141156,3,8/23,ЖК Окинава,Яндекс.Недвижимость,2026-07-04,сдача 1кв.2029
,ул. Алматинская 10,70,Новостройка,9317600,133109,3,25/25,ЖК ДомОтель,Яндекс.Недвижимость,2026-07-04,сдача 4кв.2026
,ул. Лесопарковая 20,83.3,Новостройка,10460000,125570,3,22/24,ГК Чистые пруды,Яндекс.Недвижимость,2026-07-04,сдача 3кв.2027
,,57.3,Новостройка,8080000,141012,2,10/19,ЖК Символ (Комарово Парк),Яндекс.Недвижимость,2026-07-04,сдача 2кв.2028
,ул. Муравленко 9к1,169,Новостройка,20860000,123432,4,1/9,ЖК Европейский квартал,Яндекс.Недвижимость,2026-07-04,сдача 2кв.2026
,ул. Защитников Отечества 44,44.4,Новостройка,6470000,145721,2,19/19,ЖК Набережный квартал,Яндекс.Недвижимость,2026-07-04,сдача 1кв.2026
Ембаево (пригород),с. Ембаево,99.4,Новостройка,9250000,93058,2,1/4,ЖК Ритмы,Яндекс.Недвижимость,2026-07-04,сдача 2кв.2027
,мкр. на Мельникайте,35.3,Новостройка,5745600,162765,1,3/25,Жилой район Корней,Яндекс.Недвижимость,2026-07-04,сдача 2кв.2028
,ЖК Окинава,60.4,Новостройка,9940000,164570,2,7/23,ЖК Окинава,Яндекс.Недвижимость,2026-07-04,сдача 1кв.2029
,ул. Муравленко 9к3,78.4,Новостройка,11740000,149745,2,7/8,Европейский квартал (Дом у озера),Яндекс.Недвижимость,2026-07-04,сдача 2кв.2027
,ул. Защитников Отечества 44,67.9,Новостройка,7900000,116348,3,3/19,ЖК Набережный квартал,Яндекс.Недвижимость,2026-07-04,сдача 1кв.2026
,ул. Эльвиры Федоровой 3,77.1,Новостройка,10911325,141522,3,19/19,Жилой район Корней,Яндекс.Недвижимость,2026-07-04,сдача 3кв.2026
,ул. Вадима Бованенко 11,66.2,Новостройка,8959500,135340,2,12/24,ЖК Скандиа. Квартал в Слободе,Яндекс.Недвижимость,2026-07-04,скидка 10%; сдача 4кв.2026
,ул. Евгения Войнова 8,48.2,Новостройка,8450000,175311,1,9/23,ЖК Добро,Яндекс.Недвижимость,2026-07-04,сдача 3кв.2028
,Хабаровская ул.,56.3,Новостройка,8631111,153306,3,8/16,ЖК Страна.Прибрежная,Яндекс.Недвижимость,2026-07-04,скидка 20%; сдача 4кв.2027
